adj_symbol,adj_symbol,symbol,base_asset,quote_asset,status,contract_type
XRP-BUSD,XRP-BUSD,XRPBUSD,XRP,BUSD,TRADING,PERPETUAL
IOTX-USDT,IOTX-USDT,IOTXUSDT,IOTX,USDT,TRADING,PERPETUAL
DOGE-BUSD,DOGE-BUSD,DOGEBUSD,DOGE,BUSD,TRADING,PERPETUAL
AUDIO-USDT,AUDIO-USDT,AUDIOUSDT,AUDIO,USDT,TRADING,PERPETUAL
RAY-USDT,RAY-USDT,RAYUSDT,RAY,USDT,TRADING,PERPETUAL
C98-USDT,C98-USDT,C98USDT,C98,USDT,TRADING,PERPETUAL
MASK-USDT,MASK-USDT,MASKUSDT,MASK,USDT,TRADING,PERPETUAL
ATA-USDT,ATA-USDT,ATAUSDT,ATA,USDT,TRADING,PERPETUAL
SOL-BUSD,SOL-BUSD,SOLBUSD,SOL,BUSD,TRADING,PERPETUAL
FTT-BUSD,FTT-BUSD,FTTBUSD,FTT,BUSD,TRADING,PERPETUAL
DYDX-USDT,DYDX-USDT,DYDXUSDT,DYDX,USDT,TRADING,PERPETUAL
1000XEC-USDT,1000XEC-USDT,1000XECUSDT,1000XEC,USDT,TRADING,PERPETUAL
GALA-USDT,GALA-USDT,GALAUSDT,GALA,USDT,TRADING,PERPETUAL
CELO-USDT,CELO-USDT,CELOUSDT,CELO,USDT,TRADING,PERPETUAL
AR-USDT,AR-USDT,ARUSDT,AR,USDT,TRADING,PERPETUAL
KLAY-USDT,KLAY-USDT,KLAYUSDT,KLAY,USDT,TRADING,PERPETUAL
ARPA-USDT,ARPA-USDT,ARPAUSDT,ARPA,USDT,TRADING,PERPETUAL
CTSI-USDT,CTSI-USDT,CTSIUSDT,CTSI,USDT,TRADING,PERPETUAL
LPT-USDT,LPT-USDT,LPTUSDT,LPT,USDT,TRADING,PERPETUAL
ENS-USDT,ENS-USDT,ENSUSDT,ENS,USDT,TRADING,PERPETUAL
PEOPLE-USDT,PEOPLE-USDT,PEOPLEUSDT,PEOPLE,USDT,TRADING,PERPETUAL
ANT-USDT,ANT-USDT,ANTUSDT,ANT,USDT,TRADING,PERPETUAL
ROSE-USDT,ROSE-USDT,ROSEUSDT,ROSE,USDT,TRADING,PERPETUAL
